Store_Code,Date,Quantity, Sales ,Transactions
35,1/1/2023,8292,14319.83,509
35,1/2/2023,18072,31916.36,930
35,1/3/2023,18890.4,31089.59,962
35,1/4/2023,19178.4,32773.51,1045
35,1/5/2023,15756,28698.25,913
35,1/6/2023,18211.2,32411.12,1001
35,1/7/2023,24309.6,43447.74,1222
35,1/8/2023,22084.8,40455.31,1024
35,1/9/2023,22456.8,38524.01,997
35,1/10/2023,16879.2,28780.71,936
35,1/11/2023,17318.4,30774.94,919
35,1/12/2023,16538.4,28236.04,936
35,1/13/2023,20990.4,34644.05,1010
35,1/14/2023,27854.4,49660.45,1245
35,1/15/2023,29779.2,54794.67,1133
35,1/16/2023,20836.8,35835.38,1086
35,1/17/2023,23512.8,36243.34,958
35,1/18/2023,16857.6,28976.01,974
35,1/19/2023,26145.6,40622.40,910
35,1/20/2023,15940.8,26226.62,957
35,1/21/2023,24782.4,46116.84,1193
35,1/22/2023,25185.6,43588.79,1156
35,1/23/2023,19372.8,33435.36,993
35,1/24/2023,14496,24935.47,842
35,1/25/2023,16389.6,28745.99,958
35,1/26/2023,17721.6,31204.60,955
35,1/27/2023,16646.4,28837.13,956
35,1/28/2023,24669.6,44934.19,1140
35,1/29/2023,25051.2,45366.02,1095
35,1/30/2023,19123.2,34060.32,971
35,1/31/2023,19358.4,34077.68,1044
89,1/1/2023,9180,10255.42,593
89,1/2/2023,14467.2,16426.90,823
89,1/3/2023,11844,12703.18,752
89,1/4/2023,11959.2,12946.22,749
89,1/5/2023,11450.4,12010.95,716
89,1/6/2023,12420,13744.78,797
89,1/7/2023,13737.6,16478.98,859
89,1/8/2023,15986.4,17186.40,794
89,1/9/2023,11899.2,13182.75,746
89,1/10/2023,12974.4,14480.41,766
89,1/11/2023,12434.4,13228.32,781
89,1/12/2023,11738.4,13013.49,762
89,1/13/2023,10264.8,11720.17,766
89,1/14/2023,18158.4,21266.00,929
89,1/15/2023,19941.6,21105.42,865
89,1/16/2023,14805.6,15576.26,841
89,1/17/2023,14323.2,15667.40,811
89,1/18/2023,12763.2,13777.33,772
89,1/19/2023,12748.8,13989.99,809
89,1/20/2023,10190.4,11264.47,703
89,1/21/2023,14409.6,16685.13,861
89,1/22/2023,17227.2,18690.21,856
89,1/23/2023,11683.2,12329.94,793
89,1/24/2023,13663.2,14415.31,825
89,1/25/2023,11188.8,11835.18,736
89,1/26/2023,9878.4,11249.28,727
89,1/27/2023,11198.4,12514.39,735
89,1/28/2023,16948.8,19395.46,859
89,1/29/2023,18045.6,19877.20,884
89,1/30/2023,14023.2,15020.74,820
89,1/31/2023,15624,17592.19,863
121,1/1/2023,106449.6,273285.46,3741
121,1/2/2023,235881.6,568353.38,6312
