Country_Format,Date, Sales_Plan 
CR-1,1/1/2023," 248,141.21 "
CR-1,1/2/2023," 353,650.15 "
CR-1,1/3/2023," 324,767.41 "
CR-1,1/4/2023," 300,620.21 "
CR-1,1/5/2023," 285,410.30 "
CR-1,1/6/2023," 348,333.65 "
CR-1,1/7/2023," 444,180.71 "
CR-1,1/8/2023," 429,504.60 "
CR-1,1/9/2023," 303,486.40 "
CR-1,1/10/2023," 265,036.10 "
CR-1,1/11/2023," 291,802.96 "
CR-1,1/12/2023," 279,026.21 "
CR-1,1/13/2023," 383,662.65 "
CR-1,1/14/2023," 574,199.15 "
CR-1,1/15/2023," 535,637.38 "
CR-1,1/16/2023," 332,832.19 "
CR-1,1/17/2023," 301,201.16 "
CR-1,1/18/2023," 308,507.06 "
CR-1,1/19/2023," 266,918.31 "
CR-1,1/20/2023," 302,639.62 "
CR-1,1/21/2023," 459,982.29 "
CR-1,1/22/2023," 475,882.49 "
CR-1,1/23/2023," 310,532.91 "
CR-1,1/24/2023," 284,537.79 "
CR-1,1/25/2023," 292,317.46 "
CR-1,1/26/2023," 270,213.26 "
CR-1,1/27/2023," 341,947.42 "
CR-1,1/28/2023," 585,346.65 "
CR-1,1/29/2023," 546,519.05 "
CR-1,1/30/2023," 380,539.21 "
CR-1,1/31/2023," 339,151.97 "
CR-2,1/1/2023," 80,568.56 "
CR-2,1/2/2023," 135,339.23 "
CR-2,1/3/2023," 122,783.28 "
CR-2,1/4/2023," 120,157.19 "
CR-2,1/5/2023," 112,135.28 "
CR-2,1/6/2023," 124,502.57 "
CR-2,1/7/2023," 139,991.16 "
CR-2,1/8/2023," 109,065.43 "
CR-2,1/9/2023," 120,618.09 "
CR-2,1/10/2023," 102,261.16 "
CR-2,1/11/2023," 105,461.78 "
CR-2,1/12/2023," 101,978.19 "
CR-2,1/13/2023," 135,077.69 "
CR-2,1/14/2023," 155,576.23 "
CR-2,1/15/2023," 119,741.30 "
CR-2,1/16/2023," 127,690.33 "
CR-2,1/17/2023," 107,249.67 "
CR-2,1/18/2023," 113,605.89 "
CR-2,1/19/2023," 106,411.46 "
CR-2,1/20/2023," 131,939.24 "
CR-2,1/21/2023," 146,864.03 "
CR-2,1/22/2023," 109,221.92 "
CR-2,1/23/2023," 114,587.73 "
CR-2,1/24/2023," 103,639.59 "
CR-2,1/25/2023," 103,114.38 "
CR-2,1/26/2023," 101,802.40 "
CR-2,1/27/2023," 121,542.05 "
CR-2,1/28/2023," 164,434.20 "
CR-2,1/29/2023," 113,307.91 "
CR-2,1/30/2023," 134,546.04 "
CR-2,1/31/2023," 137,948.17 "
CR-3,1/1/2023," 479,213.88 "
CR-3,1/2/2023," 806,738.14 "
CR-3,1/3/2023," 710,312.27 "
CR-3,1/4/2023," 610,242.02 "
CR-3,1/5/2023," 553,055.34 "
CR-3,1/6/2023," 610,863.71 "
CR-3,1/7/2023," 769,788.47 "
CR-3,1/8/2023," 694,216.99 "
CR-3,1/9/2023," 566,891.11 "
CR-3,1/10/2023," 477,325.23 "
CR-3,1/11/2023," 470,954.01 "
CR-3,1/12/2023," 586,669.34 "
CR-3,1/13/2023," 852,515.78 "
CR-3,1/14/2023," 1,120,192.98 "
CR-3,1/15/2023," 958,603.54 "
CR-3,1/16/2023," 696,560.11 "
CR-3,1/17/2023," 574,771.53 "
CR-3,1/18/2023," 552,131.39 "
CR-3,1/19/2023," 544,109.48 "
CR-3,1/20/2023," 705,823.26 "
CR-3,1/21/2023," 870,495.41 "
CR-3,1/22/2023," 735,930.08 "
CR-3,1/23/2023," 628,176.63 "
CR-3,1/24/2023," 547,567.34 "
CR-3,1/25/2023," 527,456.83 "
CR-3,1/26/2023," 581,485.76 "
CR-3,1/27/2023," 742,217.70 "
CR-3,1/28/2023," 1,009,669.81 "
CR-3,1/29/2023," 917,664.34 "
CR-3,1/30/2023," 887,641.13 "
CR-3,1/31/2023," 779,705.46 "
CR-5,1/1/2023," 479,533.29 "
CR-5,1/2/2023," 812,367.63 "
CR-5,1/3/2023," 724,246.64 "
CR-5,1/4/2023," 648,962.43 "
CR-5,1/5/2023," 585,100.12 "
CR-5,1/6/2023," 657,061.52 "
CR-5,1/7/2023," 808,198.04 "
CR-5,1/8/2023," 639,592.10 "
CR-5,1/9/2023," 656,101.12 "
CR-5,1/10/2023," 523,525.19 "
CR-5,1/11/2023," 536,814.29 "
CR-5,1/12/2023," 544,469.63 "
CR-5,1/13/2023," 822,483.99 "
CR-5,1/14/2023," 1,094,487.28 "
CR-5,1/15/2023," 830,806.03 "
CR-5,1/16/2023," 766,688.61 "
CR-5,1/17/2023," 621,666.06 "
CR-5,1/18/2023," 606,807.73 "
CR-5,1/19/2023," 607,429.42 "
CR-5,1/20/2023," 712,976.95 "
CR-5,1/21/2023," 882,961.32 "
CR-5,1/22/2023," 717,536.71 "
CR-5,1/23/2023," 609,032.94 "
CR-5,1/24/2023," 521,988.12 "
CR-5,1/25/2023," 502,327.79 "
CR-5,1/26/2023," 553,479.81 "
CR-5,1/27/2023," 757,427.61 "
CR-5,1/28/2023," 1,025,889.42 "
CR-5,1/29/2023," 769,421.89 "
CR-5,1/30/2023," 884,217.56 "
CR-5,1/31/2023," 840,575.09 "
GT-1,1/1/2023," 412,755.48 "
GT-1,1/2/2023," 762,272.48 "
GT-1,1/3/2023," 724,581.07 "
GT-1,1/4/2023," 685,095.34 "
GT-1,1/5/2023," 622,553.58 "
GT-1,1/6/2023," 583,241.49 "
GT-1,1/7/2023," 936,617.24 "
GT-1,1/8/2023," 971,568.94 "
GT-1,1/9/2023," 665,675.11 "
GT-1,1/10/2023," 564,271.44 "
GT-1,1/11/2023," 573,159.43 "
GT-1,1/12/2023," 638,899.67 "
GT-1,1/13/2023," 625,475.51 "
GT-1,1/14/2023," 1,072,674.62 "
GT-1,1/15/2023," 1,173,791.02 "
GT-1,1/16/2023," 660,583.70 "
GT-1,1/17/2023," 598,376.36 "
GT-1,1/18/2023," 530,072.20 "
GT-1,1/19/2023," 530,657.44 "
GT-1,1/20/2023," 570,790.59 "
GT-1,1/21/2023," 1,001,514.98 "
GT-1,1/22/2023," 954,241.01 "
GT-1,1/23/2023," 521,068.45 "
GT-1,1/24/2023," 524,179.03 "
GT-1,1/25/2023," 492,119.25 "
GT-1,1/26/2023," 483,775.78 "
GT-1,1/27/2023," 534,439.02 "
GT-1,1/28/2023," 1,022,272.91 "
GT-1,1/29/2023," 1,066,209.07 "
GT-1,1/30/2023," 648,122.08 "
GT-1,1/31/2023," 652,304.54 "
GT-2,1/1/2023," 15,209.91 "
GT-2,1/2/2023," 37,138.33 "
GT-2,1/3/2023," 32,109.09 "
GT-2,1/4/2023," 33,491.81 "
GT-2,1/5/2023," 28,158.16 "
GT-2,1/6/2023," 30,494.84 "
GT-2,1/7/2023," 43,074.37 "
GT-2,1/8/2023," 41,792.41 "
GT-2,1/9/2023," 33,067.34 "
GT-2,1/10/2023," 28,539.74 "
GT-2,1/11/2023," 30,254.74 "
GT-2,1/12/2023," 29,791.69 "
GT-2,1/13/2023," 34,763.05 "
GT-2,1/14/2023," 45,368.18 "
GT-2,1/15/2023," 49,064.01 "
GT-2,1/16/2023," 42,354.07 "
GT-2,1/17/2023," 33,984.87 "
GT-2,1/18/2023," 29,298.63 "
GT-2,1/19/2023," 28,756.26 "
GT-2,1/20/2023," 30,083.24 "
GT-2,1/21/2023," 47,329.71 "
GT-2,1/22/2023," 42,825.69 "
GT-2,1/23/2023," 29,230.03 "
GT-2,1/24/2023," 29,943.90 "
GT-2,1/25/2023," 24,500.92 "
GT-2,1/26/2023," 24,981.12 "
GT-2,1/27/2023," 31,759.66 "
GT-2,1/28/2023," 41,925.32 "
GT-2,1/29/2023," 48,883.93 "
GT-2,1/30/2023," 35,438.33 "
GT-2,1/31/2023," 35,245.39 "
GT-3,1/1/2023," 253,935.76 "
GT-3,1/2/2023," 327,112.67 "
GT-3,1/3/2023," 308,311.98 "
GT-3,1/4/2023," 307,795.34 "
GT-3,1/5/2023," 299,430.43 "
GT-3,1/6/2023," 297,739.01 "
GT-3,1/7/2023," 372,103.55 "
GT-3,1/8/2023," 413,111.34 "
GT-3,1/9/2023," 290,122.26 "
GT-3,1/10/2023," 247,287.99 "
GT-3,1/11/2023," 240,625.22 "
GT-3,1/12/2023," 253,582.04 "
GT-3,1/13/2023," 297,391.72 "
GT-3,1/14/2023," 468,625.89 "
GT-3,1/15/2023," 548,216.90 "
GT-3,1/16/2023," 343,576.67 "
GT-3,1/17/2023," 289,406.25 "
GT-3,1/18/2023," 245,339.33 "
GT-3,1/19/2023," 250,510.05 "
GT-3,1/20/2023," 263,831.31 "
GT-3,1/21/2023," 376,451.08 "
GT-3,1/22/2023," 403,959.68 "
GT-3,1/23/2023," 254,741.81 "
GT-3,1/24/2023," 220,797.68 "
GT-3,1/25/2023," 232,982.75 "
GT-3,1/26/2023," 235,668.87 "
GT-3,1/27/2023," 289,440.55 "
GT-3,1/28/2023," 440,405.57 "
GT-3,1/29/2023," 456,376.51 "
GT-3,1/30/2023," 357,371.70 "
GT-3,1/31/2023," 347,045.26 "
GT-5,1/1/2023," 249,596.81 "
GT-5,1/2/2023," 421,429.09 "
GT-5,1/3/2023," 405,393.84 "
GT-5,1/4/2023," 368,797.89 "
GT-5,1/5/2023," 349,844.99 "
GT-5,1/6/2023," 349,917.88 "
GT-5,1/7/2023," 459,620.00 "
GT-5,1/8/2023," 444,328.63 "
GT-5,1/9/2023," 398,711.78 "
GT-5,1/10/2023," 329,826.66 "
GT-5,1/11/2023," 308,166.21 "
GT-5,1/12/2023," 320,235.52 "
GT-5,1/13/2023," 362,924.01 "
GT-5,1/14/2023," 580,379.58 "
GT-5,1/15/2023," 570,451.88 "
GT-5,1/16/2023," 486,335.41 "
GT-5,1/17/2023," 415,651.69 "
GT-5,1/18/2023," 341,996.73 "
GT-5,1/19/2023," 335,153.88 "
GT-5,1/20/2023," 363,925.14 "
GT-5,1/21/2023," 487,758.86 "
GT-5,1/22/2023," 494,745.34 "
GT-5,1/23/2023," 389,075.62 "
GT-5,1/24/2023," 338,326.63 "
GT-5,1/25/2023," 303,645.04 "
GT-5,1/26/2023," 308,339.85 "
GT-5,1/27/2023," 360,872.44 "
GT-5,1/28/2023," 498,469.04 "
GT-5,1/29/2023," 527,328.20 "
GT-5,1/30/2023," 482,292.30 "
GT-5,1/31/2023," 493,806.38 "
HN-3,1/1/2023," 38,019.41 "
HN-3,1/2/2023," 95,375.44 "
HN-3,1/3/2023," 87,559.33 "
HN-3,1/4/2023," 107,333.28 "
HN-3,1/5/2023," 99,512.88 "
HN-3,1/6/2023," 102,533.42 "
HN-3,1/7/2023," 130,292.84 "
HN-3,1/8/2023," 114,739.93 "
HN-3,1/9/2023," 109,545.63 "
HN-3,1/10/2023," 91,514.54 "
HN-3,1/11/2023," 91,694.62 "
HN-3,1/12/2023," 89,392.23 "
HN-3,1/13/2023," 97,997.24 "
HN-3,1/14/2023," 119,514.06 "
HN-3,1/15/2023," 130,170.64 "
HN-3,1/16/2023," 129,739.75 "
HN-3,1/17/2023," 124,030.94 "
HN-3,1/18/2023," 132,453.74 "
HN-3,1/19/2023," 103,326.61 "
HN-3,1/20/2023," 108,548.78 "
HN-3,1/21/2023," 143,213.22 "
HN-3,1/22/2023," 103,420.93 "
HN-3,1/23/2023," 110,377.40 "
HN-3,1/24/2023," 106,992.42 "
HN-3,1/25/2023," 100,147.43 "
HN-3,1/26/2023," 114,568.43 "
HN-3,1/27/2023," 129,343.16 "
HN-3,1/28/2023," 151,494.53 "
HN-3,1/29/2023," 119,869.93 "
HN-3,1/30/2023," 123,975.21 "
HN-3,1/31/2023," 147,535.02 "
HN-5,1/1/2023," 31,043.64 "
HN-5,1/2/2023," 122,191.61 "
HN-5,1/3/2023," 101,566.59 "
HN-5,1/4/2023," 106,040.59 "
HN-5,1/5/2023," 110,141.59 "
HN-5,1/6/2023," 102,713.49 "
HN-5,1/7/2023," 150,060.36 "
HN-5,1/8/2023," 120,973.96 "
HN-5,1/9/2023," 127,225.13 "
HN-5,1/10/2023," 109,427.72 "
HN-5,1/11/2023," 99,418.55 "
HN-5,1/12/2023," 91,581.00 "
HN-5,1/13/2023," 127,465.23 "
HN-5,1/14/2023," 198,712.76 "
HN-5,1/15/2023," 161,190.71 "
HN-5,1/16/2023," 155,882.78 "
HN-5,1/17/2023," 123,473.57 "
HN-5,1/18/2023," 111,069.83 "
HN-5,1/19/2023," 107,524.07 "
